,value,datetime
100,0.6451109593534645,2019-07-05T04:00:00+02:00
101,0.6537183503292715,2019-07-05T05:00:00+02:00
102,0.6968005208620713,2019-07-05T06:00:00+02:00
103,0.7529929493352895,2019-07-05T07:00:00+02:00
104,0.8131981349113234,2019-07-05T08:00:00+02:00
105,0.8691167930353757,2019-07-05T09:00:00+02:00
106,0.9036922156813953,2019-07-05T10:00:00+02:00
107,0.9180822018359448,2019-07-05T11:00:00+02:00
108,0.9392466894002626,2019-07-05T12:00:00+02:00
109,0.9493296410647845,2019-07-05T13:00:00+02:00
110,0.9297839295552913,2019-07-05T14:00:00+02:00
111,0.9096375315636566,2019-07-05T15:00:00+02:00
112,0.9054846198466779,2019-07-05T16:00:00+02:00
113,0.903493266804829,2019-07-05T17:00:00+02:00
114,0.8860572759624875,2019-07-05T18:00:00+02:00
115,0.8710463188878919,2019-07-05T19:00:00+02:00
116,0.8491776357755824,2019-07-05T20:00:00+02:00
117,0.8262700778023667,2019-07-05T21:00:00+02:00
118,0.8027785005326126,2019-07-05T22:00:00+02:00
119,0.754050355657985,2019-07-05T23:00:00+02:00
120,0.7290006608719954,2019-07-06T00:00:00+02:00
121,0.6910562129076863,2019-07-06T01:00:00+02:00
122,0.6591085014583509,2019-07-06T02:00:00+02:00
123,0.6382820043840541,2019-07-06T03:00:00+02:00
124,0.6240803935993444,2019-07-06T04:00:00+02:00
125,0.6169743571036616,2019-07-06T05:00:00+02:00
126,0.6171130091668685,2019-07-06T06:00:00+02:00
127,0.627532226170314,2019-07-06T07:00:00+02:00
128,0.6713471128942495,2019-07-06T08:00:00+02:00
129,0.7300074534874917,2019-07-06T09:00:00+02:00
130,0.7779993205687177,2019-07-06T10:00:00+02:00
131,0.804505655031385,2019-07-06T11:00:00+02:00
132,0.8205254637727869,2019-07-06T12:00:00+02:00
133,0.8323295597322576,2019-07-06T13:00:00+02:00
134,0.8194488025378419,2019-07-06T14:00:00+02:00
135,0.7993474810748837,2019-07-06T15:00:00+02:00
136,0.7851815141378496,2019-07-06T16:00:00+02:00
137,0.7785582138742716,2019-07-06T17:00:00+02:00
138,0.7697384067133308,2019-07-06T18:00:00+02:00
139,0.7647506053402163,2019-07-06T19:00:00+02:00
140,0.7632390390785956,2019-07-06T20:00:00+02:00
141,0.7655397228422332,2019-07-06T21:00:00+02:00
142,0.7507507259338431,2019-07-06T22:00:00+02:00
143,0.7080396298371114,2019-07-06T23:00:00+02:00
144,0.6709314349548057,2019-07-07T00:00:00+02:00
145,0.6325133495391801,2019-07-07T01:00:00+02:00
146,0.5997993927523786,2019-07-07T02:00:00+02:00
147,0.5800140800154574,2019-07-07T03:00:00+02:00
148,0.5704722971202135,2019-07-07T04:00:00+02:00
149,0.5644514641399102,2019-07-07T05:00:00+02:00
150,0.5624153962946148,2019-07-07T06:00:00+02:00
151,0.5571031830401175,2019-07-07T07:00:00+02:00
152,0.5887342736130265,2019-07-07T08:00:00+02:00
153,0.637951749248954,2019-07-07T09:00:00+02:00
154,0.6793366215269753,2019-07-07T10:00:00+02:00
155,0.7099345691926245,2019-07-07T11:00:00+02:00
156,0.7298100906369344,2019-07-07T12:00:00+02:00
157,0.7478054478101308,2019-07-07T13:00:00+02:00
158,0.7566271748972929,2019-07-07T14:00:00+02:00
159,0.7403979828976868,2019-07-07T15:00:00+02:00
160,0.7254566440173804,2019-07-07T16:00:00+02:00
161,0.7202786308232579,2019-07-07T17:00:00+02:00
162,0.7161202375777922,2019-07-07T18:00:00+02:00
163,0.7171125890091012,2019-07-07T19:00:00+02:00
164,0.7256159700687398,2019-07-07T20:00:00+02:00
165,0.7458588652217635,2019-07-07T21:00:00+02:00
166,0.7642176449511603,2019-07-07T22:00:00+02:00
167,0.7230865368345775,2019-07-07T23:00:00+02:00
